"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2003","1,446.77","1,482.61","1,509.47","1,446.77","","-1.06%"
"08/01/2003","1,462.30","1,419.64","1,462.30","1,398.42","","1.95%"
"07/01/2003","1,434.33","1,421.03","1,458.51","1,416.88","","1.76%"
"06/01/2003","1,409.48","1,396.70","1,462.48","1,396.70","","1.28%"
"05/01/2003","1,391.72","1,321.39","1,391.72","1,321.39","","5.27%"
"04/01/2003","1,322.07","1,236.30","1,324.68","1,236.30","","8.24%"
"03/01/2003","1,221.46","1,200.60","1,289.74","1,152.15","","0.97%"
"02/01/2003","1,209.71","1,234.79","1,234.79","1,174.43","","-1.50%"
"01/01/2003","1,228.14","1,303.17","1,336.25","1,212.23","","-2.62%"
"12/01/2002","1,261.18","1,337.35","1,337.35","1,254.66","","-5.87%"
"11/01/2002","1,339.89","1,287.13","1,343.47","1,252.42","","5.89%"
"10/01/2002","1,265.41","1,209.59","1,284.73","1,108.91","","8.80%"
"09/01/2002","1,163.04","1,250.68","1,296.26","1,163.04","","-10.87%"
"08/01/2002","1,304.86","1,258.22","1,370.85","1,187.07","","0.66%"
"07/01/2002","1,296.34","1,375.87","1,405.20","1,133.99","","-7.79%"
"06/01/2002","1,405.93","1,476.26","1,489.88","1,382.78","","-7.12%"
"05/01/2002","1,513.77","1,538.65","1,569.17","1,486.57","","-0.74%"
"04/01/2002","1,525.00","1,622.23","1,622.23","1,508.75","","-6.06%"
"03/01/2002","1,623.43","1,600.02","1,655.44","1,600.02","","3.76%"
"02/01/2002","1,564.59","1,584.06","1,584.06","1,525.26","","-1.93%"
"01/01/2002","1,595.35","1,628.51","1,653.69","1,553.23","","-1.46%"
"12/01/2001","1,618.98","1,591.48","1,649.00","1,577.58","","0.88%"
"11/01/2001","1,604.92","1,524.96","1,629.76","1,524.96","","7.67%"
"10/01/2001","1,490.58","1,459.33","1,553.26","1,459.33","","1.91%"
"09/01/2001","1,462.69","1,590.29","1,590.29","1,356.61","","-8.08%"
"08/01/2001","1,591.18","1,704.24","1,711.17","1,584.77","","-6.26%"
"07/01/2001","1,697.45","1,731.53","1,731.53","1,641.76","","-0.98%"
"06/01/2001","1,714.32","1,763.87","1,795.96","1,691.59","","-2.43%"
"05/01/2001","1,757.09","1,769.12","1,836.02","1,741.33","","0.67%"
"04/01/2001","1,745.39","1,599.36","1,750.98","1,540.17","","7.77%"
"03/01/2001","1,619.54","1,730.92","1,764.39","1,559.65","","-6.34%"
"02/01/2001","1,729.08","1,913.11","1,913.11","1,729.08","","-9.12%"
"01/01/2001","1,902.55","1,785.86","1,913.12","1,785.86","","3.55%"
"12/01/2000","1,837.37","1,828.81","1,919.65","1,759.62","","0.49%"
"11/01/2000","1,828.42","1,973.72","1,989.19","1,828.42","","-7.88%"
"10/01/2000","1,984.91","1,992.94","1,993.70","1,846.08","","-0.42%"
"09/01/2000","1,993.33","2,108.76","2,108.76","1,979.31","","-5.28%"
"08/01/2000","2,104.43","1,991.43","2,104.43","1,991.43","","6.21%"
"07/01/2000","1,981.36","2,033.58","2,091.14","1,966.20","","-1.56%"
"06/01/2000","2,012.83","2,003.45","2,055.84","1,994.33","","2.47%"
"05/01/2000","1,964.40","2,027.40","2,027.40","1,898.94","","-2.05%"
"04/01/2000","2,005.55","2,077.97","2,092.87","1,872.55","","-3.01%"
"03/01/2000","2,067.75","1,901.51","2,107.28","1,869.33","","9.78%"
"02/01/2000","1,883.50","1,940.24","1,985.49","1,837.70","","-1.89%"
"01/01/2000","1,919.84","2,002.11","2,016.64","1,872.61","","-5.02%"
"12/01/1999","2,021.40","1,921.49","2,021.40","1,921.49","","5.89%"
"11/01/1999","1,908.97","1,858.86","1,957.87","1,850.13","","2.03%"
"10/01/1999","1,870.94","1,759.77","1,870.94","1,711.77","","6.33%"
"09/01/1999","1,759.59","1,824.20","1,860.15","1,739.92","","-2.74%"
"08/01/1999","1,809.19","1,817.27","1,892.87","1,754.33","","-0.49%"
"07/01/1999","1,818.18","1,888.15","1,940.76","1,818.18","","-3.12%"
"06/01/1999","1,876.78","1,767.80","1,876.78","1,767.80","","5.55%"
"05/01/1999","1,778.10","1,847.63","1,866.87","1,750.19","","-2.36%"
"04/01/1999","1,821.11","1,763.31","1,858.29","1,758.19","","3.87%"
"03/01/1999","1,753.21","1,682.86","1,793.85","1,668.37","","4.00%"
"02/01/1999","1,685.77","1,730.81","1,731.32","1,654.23","","-3.11%"
"01/01/1999","1,739.84","1,668.52","1,739.84","1,647.57","","4.18%"
"12/01/1998","1,670.01","1,594.87","1,687.03","1,549.63","","5.76%"
"11/01/1998","1,579.02","1,506.31","1,617.95","1,505.32","","6.06%"
"10/01/1998","1,488.78","1,335.36","1,488.78","1,299.44","","8.13%"
"09/01/1998","1,376.79","1,343.94","1,442.66","1,316.81","","6.41%"
"08/01/1998","1,293.90","1,501.53","1,501.53","1,293.90","","-14.46%"
"07/01/1998","1,512.59","1,548.77","1,601.08","1,512.59","","-1.06%"
"06/01/1998","1,528.87","1,469.46","1,535.01","1,451.65","","4.06%"
"05/01/1998","1,469.19","1,507.33","1,508.77","1,469.19","","-1.72%"
"04/01/1998","1,494.89","1,488.70","1,519.62","1,458.73","","1.01%"
"03/01/1998","1,480.00","1,405.73","1,484.92","1,389.27","","5.12%"
"02/01/1998","1,407.90","1,341.32","1,407.90","1,341.32","","7.21%"
"01/01/1998","1,313.19","1,305.04","1,320.16","1,242.10","","1.11%"
"12/01/1997","1,298.82","1,302.82","1,315.28","1,247.75","","1.72%"
"11/01/1997","1,276.89","1,252.96","1,286.69","1,209.82","","4.63%"
"10/01/1997","1,220.40","1,273.51","1,310.60","1,169.69","","-3.34%"
"09/01/1997","1,262.56","1,234.44","1,272.95","1,215.41","","5.48%"
